Õº∆¨–Ú∫≈,‘§≤‚–Ú∫≈,‘§≤‚¿‡±
311,8,ship
312,3,cat
313,6,frog
314,8,ship
315,0,airplane
316,9,truck
317,9,truck
318,7,horse
319,8,ship
320,8,ship
321,0,airplane
322,7,horse
323,8,ship
324,8,ship
325,9,truck
326,8,ship
327,0,airplane
328,9,truck
329,6,frog
330,7,horse
331,8,ship
332,8,ship
333,8,ship
334,8,ship
335,7,horse
336,9,truck
337,0,airplane
338,0,airplane
339,9,truck
340,8,ship
341,1,automoblie
342,6,frog
343,4,deer
344,8,ship
345,9,truck
346,6,frog
347,9,truck
348,6,frog
349,7,horse
350,7,horse
351,6,frog
352,0,airplane
353,9,truck
354,6,frog
355,8,ship
356,7,horse
357,8,ship
358,8,ship
359,9,truck
360,8,ship
361,4,deer
362,1,automoblie
363,5,dog
364,0,airplane
365,6,frog
366,6,frog
367,6,frog
368,8,ship
369,8,ship
370,8,ship
371,9,truck
372,6,frog
373,6,frog
374,5,dog
375,8,ship
376,6,frog
377,0,airplane
378,6,frog
379,1,automoblie
380,6,frog
381,9,truck
382,8,ship
383,9,truck
384,0,airplane
385,8,ship
386,1,automoblie
387,8,ship
388,6,frog
389,6,frog
390,0,airplane
391,8,ship
392,7,horse
393,3,cat
394,6,frog
395,6,frog
396,6,frog
397,9,truck
398,3,cat
399,6,frog
400,7,horse
401,6,frog
402,9,truck
403,0,airplane
404,9,truck
405,8,ship
406,8,ship
407,6,frog
408,8,ship
409,6,frog
410,9,truck
411,8,ship
412,7,horse
413,9,truck
414,9,truck
415,9,truck
416,1,automoblie
417,9,truck
418,6,frog
419,6,frog
420,9,truck
421,0,airplane
422,1,automoblie
423,1,automoblie
424,0,airplane
425,8,ship
426,0,airplane
427,8,ship
428,8,ship
429,8,ship
430,8,ship
431,0,airplane
432,8,ship
433,8,ship
434,8,ship
435,1,automoblie
436,9,truck
437,9,truck
438,6,frog
439,9,truck
440,8,ship
441,6,frog
442,6,frog
443,9,truck
444,4,deer
445,0,airplane
446,6,frog
447,9,truck
448,8,ship
449,1,automoblie
450,1,automoblie
451,9,truck
452,6,frog
453,9,truck
454,0,airplane
455,0,airplane
456,8,ship
457,1,automoblie
458,9,truck
459,9,truck
460,9,truck
461,6,frog
462,9,truck
463,9,truck
464,6,frog
465,9,truck
466,8,ship
467,8,ship
468,7,horse
469,6,frog
470,9,truck
471,6,frog
472,6,frog
473,8,ship
474,9,truck
475,8,ship
476,6,frog
477,0,airplane
478,6,frog
479,8,ship
480,6,frog
481,9,truck
482,6,frog
483,6,frog
484,8,ship
485,6,frog
486,8,ship
487,8,ship
488,9,truck
489,0,airplane
490,7,horse
491,8,ship
492,9,truck
493,5,dog
494,9,truck
495,9,truck
496,6,frog
497,0,airplane
498,9,truck
499,8,ship
500,9,truck
501,8,ship
502,6,frog
503,3,cat
504,9,truck
505,8,ship
506,9,truck
507,8,ship
508,8,ship
509,6,frog
510,3,cat
511,8,ship
512,7,horse
513,9,truck
514,9,truck
515,6,frog
516,8,ship
517,0,airplane
518,8,ship
519,8,ship
520,0,airplane
521,8,ship
522,8,ship
523,8,ship
524,6,frog
525,9,truck
526,3,cat
527,8,ship
528,8,ship
529,0,airplane
530,7,horse
531,9,truck
532,8,ship
533,6,frog
534,7,horse
535,8,ship
536,6,frog
537,9,truck
538,0,airplane
539,9,truck
540,7,horse
541,6,frog
542,8,ship
543,9,truck
544,1,automoblie
545,9,truck
546,9,truck
547,6,frog
548,9,truck
549,1,automoblie
550,6,frog
551,9,truck
552,5,dog
553,0,airplane
554,9,truck
555,7,horse
556,8,ship
557,0,airplane
558,5,dog
559,1,automoblie
560,1,automoblie
561,6,frog
562,8,ship
563,3,cat
564,7,horse
565,8,ship
566,8,ship
567,8,ship
568,6,frog
569,1,automoblie
570,8,ship
571,9,truck
572,6,frog
573,8,ship
574,9,truck
575,6,frog
576,6,frog
577,7,horse
578,9,truck
579,0,airplane
580,8,ship
581,8,ship
582,9,truck
583,8,ship
584,6,frog
585,9,truck
586,7,horse
587,1,automoblie
588,7,horse
589,3,cat
590,8,ship
591,9,truck
592,8,ship
593,6,frog
594,8,ship
595,1,automoblie
596,1,automoblie
597,1,automoblie
598,9,truck
599,0,airplane
600,8,ship
601,9,truck
602,8,ship
603,7,horse
604,9,truck
605,0,airplane
606,9,truck
607,9,truck
608,9,truck
609,0,airplane
610,9,truck
611,6,frog
612,6,frog
613,3,cat
614,6,frog
615,8,ship
616,9,truck
617,9,truck
618,6,frog
619,7,horse
620,8,ship
621,7,horse
622,8,ship
623,0,airplane
624,9,truck
625,8,ship
626,9,truck
627,3,cat
628,6,frog
629,0,airplane
630,8,ship
631,9,truck
632,1,automoblie
633,8,ship
634,6,frog
635,8,ship
636,7,horse
637,9,truck
638,0,airplane
639,9,truck
640,9,truck
641,0,airplane
642,9,truck
643,0,airplane
644,0,airplane
645,6,frog
646,8,ship
647,6,frog
648,1,automoblie
649,8,ship
650,0,airplane
651,8,ship
652,9,truck
653,6,frog
654,9,truck
655,8,ship
656,6,frog
657,7,horse
658,9,truck
659,7,horse
660,8,ship
661,0,airplane
662,7,horse
663,0,airplane
664,7,horse
665,6,frog
666,8,ship
667,8,ship
668,1,automoblie
669,9,truck
670,4,deer
671,9,truck
672,9,truck
673,3,cat
674,9,truck
675,0,airplane
676,9,truck
677,0,airplane
678,9,truck
679,1,automoblie
680,6,frog
681,6,frog
682,6,frog
683,8,ship
684,6,frog
685,7,horse
686,6,frog
687,9,truck
688,7,horse
689,6,frog
690,3,cat
691,9,truck
692,3,cat
693,0,airplane
694,8,ship
695,9,truck
696,0,airplane
697,8,ship
698,8,ship
699,8,ship
700,8,ship
701,9,truck
702,8,ship
703,6,frog
704,9,truck
705,6,frog
706,6,frog
707,8,ship
708,0,airplane
709,8,ship
710,9,truck
711,9,truck
712,0,airplane
713,9,truck
714,9,truck
715,1,automoblie
716,1,automoblie
717,8,ship
718,1,automoblie
719,9,truck
720,7,horse
721,2,bird
722,9,truck
723,7,horse
724,9,truck
725,6,frog
726,0,airplane
727,9,truck
728,9,truck
729,1,automoblie
730,0,airplane
731,0,airplane
732,8,ship
733,0,airplane
734,5,dog
735,8,ship
736,4,deer
737,7,horse
738,9,truck
739,3,cat
740,6,frog
741,1,automoblie
742,8,ship
743,8,ship
744,8,ship
745,6,frog
746,9,truck
747,0,airplane
748,7,horse
749,8,ship
750,8,ship
751,9,truck
752,8,ship
753,6,frog
754,1,automoblie
755,8,ship
756,9,truck
757,6,frog
758,6,frog
759,0,airplane
760,7,horse
761,9,truck
762,8,ship
763,9,truck
764,8,ship
765,8,ship
766,9,truck
767,8,ship
768,2,bird
769,7,horse
770,9,truck
771,9,truck
772,0,airplane
773,6,frog
774,8,ship
775,6,frog
776,9,truck
777,6,frog
778,6,frog
779,5,dog
780,3,cat
781,6,frog
782,6,frog
783,8,ship
784,8,ship
785,9,truck
786,7,horse
787,6,frog
788,8,ship
789,7,horse
790,9,truck
791,9,truck
792,9,truck
793,9,truck
794,6,frog
795,0,airplane
796,0,airplane
797,6,frog
798,8,ship
799,5,dog
800,0,airplane
801,6,frog
802,9,truck
803,7,horse
804,6,frog
805,8,ship
806,9,truck
807,7,horse
808,8,ship
809,8,ship
810,9,truck
811,7,horse
812,3,cat
813,9,truck
814,0,airplane
815,8,ship
816,6,frog
817,9,truck
818,6,frog
819,9,truck
820,9,truck
821,8,ship
822,8,ship
823,1,automoblie
824,9,truck
825,8,ship
826,0,airplane
827,0,airplane
828,6,frog
829,9,truck
830,6,frog
831,6,frog
832,8,ship
833,1,automoblie
834,1,automoblie
835,0,airplane
836,8,ship
837,6,frog
838,8,ship
839,6,frog
840,9,truck
841,1,automoblie
842,8,ship
843,8,ship
844,6,frog
845,0,airplane
846,6,frog
847,4,deer
848,8,ship
849,9,truck
850,8,ship
851,8,ship
852,0,airplane
853,9,truck
854,1,automoblie
855,8,ship
856,8,ship
857,5,dog
858,1,automoblie
859,8,ship
860,0,airplane
861,9,truck
862,7,horse
863,0,airplane
864,6,frog
865,8,ship
866,1,automoblie
867,9,truck
868,6,frog
869,0,airplane
870,7,horse
871,9,truck
872,6,frog
873,8,ship
874,0,airplane
875,9,truck
876,0,airplane
877,0,airplane
878,7,horse
879,8,ship
880,9,truck
881,0,airplane
882,8,ship
883,6,frog
884,8,ship
885,0,airplane
886,7,horse
887,9,truck
888,9,truck
889,7,horse
890,9,truck
891,8,ship
892,6,frog
893,8,ship
894,0,airplane
895,8,ship
896,6,frog
897,9,truck
898,8,ship
899,1,automoblie
900,9,truck
901,2,bird
902,8,ship
903,8,ship
904,1,automoblie
905,8,ship
906,0,airplane
907,9,truck
908,0,airplane
909,6,frog
910,7,horse
911,6,frog
912,9,truck
913,8,ship
914,6,frog
915,1,automoblie
916,0,airplane
917,8,ship
918,3,cat
919,5,dog
920,8,ship
921,9,truck
922,6,frog
923,8,ship
924,0,airplane
925,9,truck
926,8,ship
927,8,ship
928,8,ship
929,0,airplane
930,8,ship
931,8,ship
932,5,dog
933,9,truck
934,7,horse
935,6,frog
936,8,ship
937,8,ship
938,0,airplane
939,1,automoblie
940,7,horse
941,8,ship
942,7,horse
943,6,frog
944,6,frog
945,6,frog
946,9,truck
947,9,truck
948,0,airplane
949,1,automoblie
950,8,ship
951,9,truck
952,8,ship
953,9,truck
954,6,frog
955,0,airplane
956,9,truck
957,9,truck
958,6,frog
959,9,truck
960,1,automoblie
961,8,ship
962,1,automoblie
963,7,horse
964,0,airplane
965,9,truck
966,0,airplane
967,9,truck
968,9,truck
969,8,ship
970,0,airplane
971,0,airplane
972,8,ship
973,8,ship
974,0,airplane
975,8,ship
976,6,frog
977,9,truck
978,7,horse
979,8,ship
980,8,ship
981,9,truck
982,8,ship
983,8,ship
984,9,truck
985,8,ship
986,8,ship
987,6,frog
988,9,truck
989,9,truck
990,7,horse
991,8,ship
992,9,truck
993,9,truck
994,6,frog
995,6,frog
996,6,frog
997,0,airplane
998,9,truck
999,8,ship
1000,9,truck
1001,9,truck
1002,8,ship
1003,9,truck
1004,8,ship
1005,7,horse
1006,9,truck
1007,9,truck
1008,9,truck
1009,8,ship
1010,1,automoblie
1011,6,frog
1012,9,truck
1013,0,airplane
1014,1,automoblie
1015,9,truck
1016,8,ship
1017,9,truck
1018,6,frog
1019,9,truck
1020,7,horse
1021,8,ship
1022,8,ship
1023,3,cat
1024,7,horse
1025,9,truck
1026,8,ship
1027,9,truck
1028,9,truck
1029,9,truck
1030,9,truck
1031,0,airplane
1032,6,frog
1033,8,ship
1034,8,ship
1035,6,frog
1036,9,truck
1037,9,truck
1038,8,ship
1039,8,ship
1040,4,deer
1041,6,frog
1042,8,ship
1043,1,automoblie
1044,5,dog
1045,8,ship
1046,8,ship
1047,9,truck
1048,6,frog
1049,9,truck
1050,9,truck
1051,8,ship
1052,7,horse
1053,7,horse
1054,9,truck
1055,7,horse
1056,7,horse
1057,7,horse
1058,8,ship
1059,0,airplane
1060,6,frog
1061,9,truck
1062,7,horse
1063,8,ship
1064,9,truck
1065,0,airplane
1066,8,ship
1067,6,frog
1068,7,horse
1069,9,truck
1070,1,automoblie
1071,8,ship
1072,6,frog
1073,4,deer
1074,8,ship
1075,0,airplane
1076,1,automoblie
1077,0,airplane
1078,9,truck
1079,6,frog
1080,0,airplane
1081,6,frog
1082,6,frog
1083,9,truck
1084,9,truck
1085,8,ship
1086,9,truck
1087,6,frog
1088,6,frog
1089,8,ship
1090,8,ship
1091,0,airplane
1092,3,cat
1093,6,frog
1094,6,frog
1095,6,frog
1096,9,truck
1097,4,deer
1098,9,truck
1099,9,truck
1100,8,ship
1101,8,ship
1102,6,frog
1103,3,cat
1104,9,truck
1105,4,deer
1106,8,ship
1107,7,horse
1108,1,automoblie
1109,9,truck
1110,8,ship
1111,9,truck
1112,9,truck
1113,8,ship
1114,9,truck
1115,8,ship
1116,0,airplane
1117,9,truck
1118,8,ship
1119,0,airplane
1120,6,frog
1121,1,automoblie
1122,8,ship
1123,6,frog
1124,9,truck
1125,8,ship
1126,0,airplane
1127,9,truck
1128,6,frog
1129,0,airplane
1130,6,frog
1131,9,truck
1132,1,automoblie
1133,7,horse
1134,3,cat
1135,9,truck
1136,9,truck
1137,9,truck
1138,9,truck
1139,8,ship
1140,8,ship
1141,9,truck
1142,1,automoblie
1143,8,ship
1144,9,truck
1145,9,truck
1146,9,truck
1147,9,truck
1148,7,horse
1149,9,truck
1150,0,airplane
1151,6,frog
1152,6,frog
1153,6,frog
1154,6,frog
1155,8,ship
1156,0,airplane
1157,7,horse
1158,9,truck
1159,8,ship
1160,8,ship
1161,9,truck
1162,6,frog
1163,9,truck
1164,3,cat
1165,8,ship
1166,0,airplane
1167,0,airplane
1168,5,dog
1169,1,automoblie
1170,6,frog
1171,6,frog
1172,9,truck
1173,9,truck
1174,6,frog
1175,6,frog
1176,1,automoblie
1177,9,truck
1178,9,truck
1179,6,frog
1180,7,horse
1181,6,frog
1182,9,truck
1183,5,dog
1184,8,ship
1185,9,truck
1186,9,truck
1187,8,ship
1188,3,cat
1189,1,automoblie
1190,8,ship
1191,7,horse
1192,9,truck
1193,8,ship
1194,9,truck
1195,6,frog
1196,1,automoblie
1197,8,ship
1198,8,ship
1199,7,horse
1200,9,truck
1201,6,frog
1202,8,ship
1203,8,ship
1204,1,automoblie
1205,7,horse
1206,8,ship
1207,9,truck
1208,9,truck
1209,5,dog
1210,9,truck
1211,6,frog
1212,9,truck
1213,0,airplane
1214,6,frog
1215,0,airplane
1216,6,frog
1217,8,ship
1218,9,truck
1219,4,deer
1220,1,automoblie
1221,0,airplane
1222,0,airplane
1223,9,truck
1224,8,ship
1225,4,deer
1226,9,truck
1227,8,ship
1228,9,truck
1229,6,frog
1230,9,truck
1231,8,ship
1232,8,ship
1233,9,truck
1234,9,truck
1235,6,frog
1236,0,airplane
1237,8,ship
1238,9,truck
1239,7,horse
1240,9,truck
1241,8,ship
1242,9,truck
1243,8,ship
1244,6,frog
1245,3,cat
1246,3,cat
1247,6,frog
1248,4,deer
1249,8,ship
1250,8,ship
1251,6,frog
1252,0,airplane
1253,6,frog
1254,1,automoblie
1255,8,ship
1256,9,truck
1257,6,frog
1258,1,automoblie
1259,3,cat
1260,3,cat
1261,9,truck
1262,8,ship
1263,8,ship
1264,9,truck
1265,8,ship
1266,8,ship
1267,8,ship
1268,9,truck
1269,9,truck
1270,8,ship
1271,6,frog
1272,9,truck
1273,5,dog
1274,7,horse
1275,8,ship
1276,0,airplane
1277,9,truck
1278,8,ship
1279,0,airplane
1280,9,truck
1281,8,ship
1282,9,truck
1283,8,ship
1284,1,automoblie
1285,8,ship
1286,0,airplane
1287,0,airplane
1288,8,ship
1289,8,ship
1290,9,truck
1291,6,frog
1292,8,ship
1293,0,airplane
1294,9,truck
1295,8,ship
1296,9,truck
1297,6,frog
1298,8,ship
1299,8,ship
1300,9,truck
1301,9,truck
1302,7,horse
1303,9,truck
1304,6,frog
1305,6,frog
1306,6,frog
1307,9,truck
1308,8,ship
1309,8,ship
1310,9,truck
1311,9,truck
1312,6,frog
1313,9,truck
1314,9,truck
1315,7,horse
1316,8,ship
1317,8,ship
1318,1,automoblie
1319,8,ship
1320,1,automoblie
1321,6,frog
1322,9,truck
1323,8,ship
1324,1,automoblie
1325,8,ship
1326,7,horse
1327,8,ship
1328,9,truck
1329,8,ship
1330,6,frog
1331,0,airplane
1332,6,frog
1333,8,ship
1334,8,ship
1335,8,ship
1336,8,ship
1337,9,truck
1338,9,truck
1339,9,truck
1340,3,cat
1341,1,automoblie
1342,8,ship
1343,3,cat
1344,8,ship
1345,8,ship
1346,9,truck
1347,9,truck
1348,8,ship
1349,8,ship
1350,9,truck
1351,8,ship
1352,8,ship
1353,0,airplane
1354,6,frog
1355,0,airplane
1356,8,ship
1357,1,automoblie
1358,2,bird
1359,8,ship
1360,8,ship
1361,9,truck
1362,9,truck
1363,3,cat
1364,9,truck
1365,9,truck
1366,6,frog
1367,9,truck
1368,8,ship
1369,8,ship
1370,6,frog
1371,9,truck
1372,8,ship
1373,8,ship
1374,7,horse
1375,8,ship
1376,9,truck
1377,0,airplane
1378,1,automoblie
1379,1,automoblie
1380,8,ship
1381,9,truck
1382,9,truck
1383,9,truck
1384,9,truck
1385,9,truck
1386,9,truck
1387,9,truck
1388,8,ship
1389,8,ship
1390,8,ship
1391,8,ship
1392,3,cat
1393,9,truck
1394,0,airplane
1395,8,ship
1396,9,truck
1397,6,frog
1398,9,truck
1399,7,horse
1400,8,ship
1401,0,airplane
1402,9,truck
1403,8,ship
1404,3,cat
1405,8,ship
1406,7,horse
1407,8,ship
1408,8,ship
1409,6,frog
1410,8,ship
1411,6,frog
1412,8,ship
1413,8,ship
1414,0,airplane
1415,9,truck
1416,6,frog
1417,9,truck
1418,9,truck
1419,9,truck
1420,8,ship
1421,8,ship
1422,8,ship
1423,8,ship
1424,0,airplane
1425,9,truck
1426,8,ship
1427,6,frog
1428,8,ship
1429,6,frog
1430,9,truck
1431,9,truck
1432,6,frog
1433,8,ship
1434,6,frog
1435,9,truck
1436,0,airplane
1437,7,horse
1438,3,cat
1439,8,ship
1440,6,frog
1441,6,frog
1442,0,airplane
1443,9,truck
1444,9,truck
1445,9,truck
1446,3,cat
1447,1,automoblie
1448,0,airplane
1449,8,ship
1450,8,ship
1451,0,airplane
1452,1,automoblie
1453,9,truck
1454,9,truck
1455,6,frog
1456,0,airplane
1457,9,truck
1458,0,airplane
1459,6,frog
1460,9,truck
1461,8,ship
1462,9,truck
1463,6,frog
1464,9,truck
1465,9,truck
1466,6,frog
1467,7,horse
1468,8,ship
1469,9,truck
1470,8,ship
1471,9,truck
1472,0,airplane
1473,6,frog
1474,0,airplane
1475,9,truck
1476,9,truck
1477,8,ship
1478,0,airplane
1479,9,truck
1480,8,ship
1481,7,horse
1482,9,truck
1483,7,horse
1484,8,ship
1485,0,airplane
1486,6,frog
1487,0,airplane
1488,7,horse
1489,9,truck
1490,8,ship
1491,8,ship
1492,0,airplane
1493,9,truck
1494,1,automoblie
1495,6,frog
1496,5,dog
1497,1,automoblie
1498,0,airplane
1499,1,automoblie
1500,9,truck
1501,6,frog
1502,3,cat
1503,0,airplane
1504,6,frog
1505,8,ship
1506,9,truck
1507,9,truck
1508,8,ship
1509,8,ship
1510,8,ship
1511,9,truck
1512,9,truck
1513,8,ship
1514,9,truck
1515,6,frog
1516,0,airplane
1517,9,truck
1518,6,frog
1519,8,ship
1520,8,ship
1521,8,ship
1522,9,truck
1523,6,frog
1524,6,frog
1525,1,automoblie
1526,6,frog
1527,6,frog
1528,8,ship
1529,9,truck
1530,5,dog
1531,9,truck
1532,0,airplane
1533,9,truck
1534,0,airplane
1535,8,ship
1536,8,ship
1537,8,ship
1538,8,ship
1539,8,ship
1540,7,horse
1541,6,frog
1542,6,frog
1543,6,frog
1544,9,truck
1545,7,horse
1546,7,horse
1547,7,horse
1548,0,airplane
1549,3,cat
1550,1,automoblie
1551,8,ship
1552,8,ship
1553,8,ship
1554,3,cat
1555,6,frog
1556,6,frog
1557,8,ship
1558,3,cat
1559,9,truck
1560,6,frog
1561,9,truck
1562,7,horse
1563,7,horse
1564,3,cat
1565,8,ship
1566,9,truck
1567,8,ship
1568,6,frog
1569,7,horse
1570,9,truck
1571,1,automoblie
1572,8,ship
1573,3,cat
1574,7,horse
1575,9,truck
1576,9,truck
1577,6,frog
1578,9,truck
1579,5,dog
1580,0,airplane
1581,3,cat
1582,9,truck
1583,9,truck
1584,8,ship
1585,8,ship
1586,9,truck
1587,9,truck
1588,7,horse
1589,6,frog
1590,6,frog
1591,7,horse
1592,9,truck
1593,8,ship
1594,8,ship
1595,7,horse
1596,8,ship
1597,3,cat
1598,8,ship
1599,9,truck
1600,8,ship
1601,9,truck
1602,9,truck
1603,6,frog
1604,6,frog
1605,6,frog
1606,8,ship
1607,6,frog
1608,1,automoblie
1609,8,ship
1610,7,horse
1611,6,frog
1612,1,automoblie
1613,0,airplane
1614,8,ship
1615,8,ship
1616,7,horse
1617,0,airplane
1618,8,ship
1619,8,ship
1620,9,truck
1621,8,ship
1622,6,frog
1623,7,horse
1624,0,airplane
1625,6,frog
1626,6,frog
1627,9,truck
1628,9,truck
1629,6,frog
1630,6,frog
1631,3,cat
1632,9,truck
1633,9,truck
1634,7,horse
1635,5,dog
1636,8,ship
1637,8,ship
1638,9,truck
1639,9,truck
1640,8,ship
1641,9,truck
1642,8,ship
1643,8,ship
1644,8,ship
1645,3,cat
1646,0,airplane
1647,1,automoblie
1648,9,truck
1649,8,ship
1650,9,truck
1651,8,ship
1652,9,truck
1653,9,truck
1654,1,automoblie
1655,8,ship
1656,8,ship
1657,9,truck
1658,8,ship
1659,9,truck
1660,8,ship
1661,7,horse
1662,6,frog
1663,8,ship
1664,0,airplane
1665,7,horse
1666,9,truck
1667,6,frog
1668,9,truck
1669,7,horse
1670,9,truck
1671,8,ship
1672,5,dog
1673,6,frog
1674,8,ship
1675,8,ship
1676,9,truck
1677,8,ship
1678,9,truck
1679,9,truck
1680,8,ship
1681,8,ship
1682,0,airplane
1683,8,ship
1684,8,ship
1685,9,truck
1686,0,airplane
1687,9,truck
1688,7,horse
1689,9,truck
1690,7,horse
1691,8,ship
1692,8,ship
1693,8,ship
1694,8,ship
1695,0,airplane
1696,8,ship
1697,8,ship
1698,6,frog
1699,7,horse
1700,8,ship
1701,8,ship
1702,8,ship
1703,1,automoblie
1704,9,truck
1705,6,frog
1706,8,ship
1707,9,truck
1708,8,ship
1709,7,horse
1710,8,ship
1711,9,truck
1712,0,airplane
1713,8,ship
1714,8,ship
1715,9,truck
1716,8,ship
1717,6,frog
1718,9,truck
1719,3,cat
1720,1,automoblie
1721,8,ship
1722,8,ship
1723,0,airplane
1724,8,ship
1725,1,automoblie
1726,9,truck
1727,9,truck
1728,1,automoblie
1729,1,automoblie
1730,7,horse
1731,5,dog
1732,6,frog
1733,8,ship
1734,6,frog
1735,3,cat
1736,5,dog
1737,1,automoblie
1738,8,ship
1739,5,dog
1740,6,frog
1741,9,truck
1742,8,ship
1743,6,frog
1744,8,ship
1745,8,ship
1746,6,frog
1747,8,ship
1748,8,ship
1749,1,automoblie
1750,7,horse
1751,9,truck
1752,3,cat
1753,9,truck
1754,0,airplane
1755,8,ship
1756,3,cat
1757,6,frog
1758,9,truck
1759,6,frog
1760,9,truck
1761,1,automoblie
1762,9,truck
1763,8,ship
1764,3,cat
1765,8,ship
1766,8,ship
1767,6,frog
1768,6,frog
1769,1,automoblie
1770,9,truck
1771,8,ship
1772,9,truck
1773,9,truck
1774,0,airplane
1775,8,ship
1776,0,airplane
1777,9,truck
1778,6,frog
1779,9,truck
1780,8,ship
1781,0,airplane
1782,6,frog
1783,1,automoblie
1784,9,truck
1785,8,ship
1786,9,truck
1787,8,ship
1788,9,truck
1789,1,automoblie
1790,6,frog
1791,7,horse
1792,9,truck
1793,0,airplane
1794,0,airplane
1795,6,frog
1796,9,truck
1797,3,cat
1798,6,frog
1799,8,ship
1800,8,ship
1801,8,ship
1802,7,horse
1803,8,ship
1804,0,airplane
1805,0,airplane
1806,9,truck
1807,0,airplane
1808,6,frog
1809,8,ship
1810,0,airplane
